id,n,edges,solvable_mask,class,ps,fs,per_hole_min,per_hole_max,states
159,11,1-0 1-2 1-4 1-5 0-6 0-9 0-10 2-3 6-7 6-8,2047,F,1,7,1 1 1 1 1 1 1 1 1 1 1,7 7 7 6 7 7 7 6 6 7 7,975
160,11,1-0 1-2 1-4 1-5 0-6 0-8 0-10 2-3 6-7 8-9,2047,F,1,6,1 1 1 1 1 1 1 1 1 1 1,6 6 5 6 6 6 6 6 6 6 6,994
161,11,1-0 1-2 1-4 1-5 0-6 0-8 0-9 0-10 2-3 6-7,2047,F,1,7,1 1 1 1 1 1 1 1 1 1 1,7 7 7 6 7 7 7 6 7 7 7,1002
162,11,1-0 1-2 1-4 0-5 0-9 2-3 5-6 5-8 6-7 9-10,2047,F,1,6,1 1 1 1 1 1 1 1 1 1 1,6 6 6 5 6 6 6 5 6 6 5,886
163,11,1-0 1-2 1-4 0-5 0-9 0-10 2-3 5-6 5-8 6-7,2047,F,1,6,1 1 1 1 1 1 1 1 1 1 1,6 6 6 6 6 6 6 6 6 6 6,915
164,11,1-0 1-2 1-4 0-5 0-8 2-3 5-6 6-7 8-9 9-10,290,S,1,5,2 1 2 2 2 1 2 2 1 2 2,5 5 5 5 5 5 5 5 5 5 5,660
165,11,1-0 1-2 1-4 0-5 0-8 2-3 5-6 6-7 8-9 8-10,2047,F,1,6,1 1 1 1 1 1 1 1 1 1 1,6 6 6 6 6 6 6 5 6 5 5,773
166,11,1-0 1-2 1-4 0-5 0-8 0-10 2-3 5-6 6-7 8-9,2047,F,1,6,1 1 1 1 1 1 1 1 1 1 1,6 6 5 6 6 5 5 6 5 5 5,852
167,11,1-0 1-2 1-4 0-5 0-8 0-9 0-10 2-3 5-6 6-7,0,U,2,6,3 2 3 3 3 2 3 3 2 2 2,6 6 6 6 6 6 6 6 6 6 6,597
168,11,1-0 1-2 1-4 0-5 2-3 5-6 5-7 5-8 5-9 5-10,0,U,4,8,4 5 5 6 5 5 4 4 4 4 4,7 8 7 7 7 6 8 8 8 8 8,209
169,11,1-0 1-2 1-4 0-5 0-10 2-3 5-6 5-7 5-8 5-9,0,U,2,7,2 3 2 3 3 3 2 2 2 2 3,7 7 7 6 6 7 6 6 6 6 6,588
170,11,1-0 1-2 1-4 0-5 0-9 2-3 5-6 5-7 5-8 9-10,0,U,2,6,2 3 2 3 3 3 2 2 2 3 3,6 6 6 6 6 6 6 6 6 6 6,604
171,11,1-0 1-2 1-4 0-5 0-9 0-10 2-3 5-6 5-7 5-8,2047,F,1,7,1 1 1 1 1 1 1 1 1 1 1,7 7 7 6 6 7 6 6 6 7 7,897
172,11,1-0 1-2 1-4 0-5 0-8 2-3 5-6 5-7 8-9 8-10,0,U,2,6,2 3 2 3 3 3 2 2 3 2 2,6 6 6 6 6 6 6 6 6 6 6,608
173,11,1-0 1-2 1-4 0-5 0-8 0-10 2-3 5-6 5-7 8-9,2047,F,1,6,1 1 1 1 1 1 1 1 1 1 1,6 6 6 6 6 6 6 6 6 6 6,943
174,11,1-0 1-2 1-4 0-5 0-8 0-9 0-10 2-3 5-6 5-7,2047,F,1,7,1 1 1 1 1 1 1 1 1 1 1,7 7 7 6 6 7 6 6 7 7 7,960
175,11,1-0 1-2 1-4 0-5 0-7 0-9 2-3 5-6 7-8 9-10,2047,F,1,5,1 1 1 1 1 1 1 1 1 1 1,5 5 5 4 5 5 5 5 5 5 5,957
176,11,1-0 1-2 1-4 0-5 0-7 0-9 0-10 2-3 5-6 7-8,2047,F,1,6,1 1 1 1 1 1 1 1 1 1 1,6 6 6 6 6 6 6 6 6 6 6,1028
177,11,1-0 1-2 1-4 0-5 0-7 0-8 0-9 0-10 2-3 5-6,0,U,2,7,3 2 3 3 3 2 3 2 2 2 2,7 7 7 6 6 7 6 7 7 7 7,709
178,11,1-0 1-2 0-4 0-7 0-10 2-3 4-5 5-6 7-8 8-9,0,U,3,5,3 3 3 3 3 3 3 3 3 3 3,5 5 5 5 5 5 5 5 5 5 5,427
179,11,1-0 1-2 0-4 0-7 2-3 4-5 5-6 7-8 7-9 7-10,182,S,1,6,2 1 1 2 1 1 2 1 2 2 2,6 6 6 6 6 6 6 6 6 6 6,629
180,11,1-0 1-2 0-4 0-7 0-10 2-3 4-5 5-6 7-8 7-9,1206,S,1,6,2 1 1 2 1 1 2 1 2 2 1,6 6 6 6 6 6 6 6 6 6 6,719
181,11,1-0 1-2 0-4 0-7 0-9 2-3 4-5 5-6 7-8 9-10,1974,S,1,6,2 1 1 2 1 1 2 1 1 1 1,6 5 5 6 5 5 6 5 5 5 5,734
182,11,1-0 1-2 0-4 0-7 0-9 0-10 2-3 4-5 5-6 7-8,18,S,1,6,3 1 2 3 1 2 3 2 2 2 2,6 6 6 6 6 6 6 6 6 6 6,560
183,11,1-0 1-2 0-4 0-7 0-8 0-9 0-10 2-3 4-5 5-6,0,U,4,7,5 4 5 5 4 5 5 4 4 4 4,7 6 6 7 6 6 7 6 6 6 6,238
184,11,1-0 1-2 0-4 2-3 4-5 4-6 4-7 4-8 4-9 4-10,0,U,4,8,4 7 5 8 5 4 4 4 4 4 4,8 8 6 8 6 8 8 8 8 8 8,195
185,11,1-0 1-2 0-4 0-10 2-3 4-5 4-6 4-7 4-8 4-9,0,U,2,8,2 3 3 5 3 2 2 2 2 2 3,8 7 6 8 7 7 7 7 7 7 7,476
186,11,1-0 1-2 0-4 0-9 2-3 4-5 4-6 4-7 4-8 9-10,0,U,2,7,2 3 3 5 3 2 2 2 2 3 3,6 7 6 6 7 7 7 7 7 7 7,507
187,11,1-0 1-2 0-4 0-9 0-10 2-3 4-5 4-6 4-7 4-8,2039,S,1,8,1 1 1 3 1 1 1 1 1 1 1,8 7 6 8 7 7 7 7 7 7 7,730
188,11,1-0 1-2 0-4 0-8 2-3 4-5 4-6 4-7 8-9 8-10,0,U,2,7,2 3 3 5 3 2 2 2 3 2 2,6 7 6 5 7 7 7 7 7 7 7,521
189,11,1-0 1-2 0-4 0-8 0-10 2-3 4-5 4-6 4-7 8-9,2039,S,1,7,1 1 1 2 1 1 1 1 1 1 1,6 7 6 6 7 7 7 7 7 7 7,804
190,11,1-0 1-2 0-4 0-8 0-9 0-10 2-3 4-5 4-6 4-7,235,S,1,8,1 1 2 1 2 1 1 1 2 2 2,8 7 6 8 7 7 7 7 7 7 7,803
191,11,1-0 1-2 0-4 0-7 0-10 2-3 4-5 4-6 7-8 7-9,2039,S,1,7,1 1 1 2 1 1 1 1 1 1 1,6 7 5 6 7 7 7 7 7 7 7,827
192,11,1-0 1-2 0-4 0-7 0-9 2-3 4-5 4-6 7-8 9-10,2039,S,1,6,1 1 1 2 1 1 1 1 1 1 1,6 5 5 6 5 5 5 5 5 5 5,837
193,11,1-0 1-2 0-4 0-7 0-9 0-10 2-3 4-5 4-6 7-8,1791,S,1,7,1 1 1 1 1 1 1 1 2 1 1,6 7 6 6 7 7 7 7 7 7 7,904
194,11,1-0 1-2 0-4 0-7 0-8 0-9 0-10 2-3 4-5 4-6,0,U,2,8,3 2 3 3 2 3 3 2 2 2 2,8 7 6 8 7 7 7 7 7 7 7,621
195,11,1-0 1-2 0-4 0-6 0-8 0-10 2-3 4-5 6-7 8-9,2047,F,1,6,1 1 1 1 1 1 1 1 1 1 1,6 5 5 6 5 5 5 5 5 5 5,929
196,11,1-0 1-2 0-4 0-6 0-8 0-9 0-10 2-3 4-5 6-7,0,U,2,7,2 2 2 2 2 2 2 2 2 2 2,6 7 6 6 7 7 7 7 7 7 7,685
197,11,1-0 1-2 0-4 0-6 0-7 0-8 0-9 0-10 2-3 4-5,0,U,4,8,5 4 5 5 4 5 4 4 4 4 4,8 7 6 8 7 7 7 7 7 7 7,266
198,11,1-0 1-2 1-3 1-4 1-5 1-6 1-7 1-8 0-9 9-10,0,U,7,8,7 8 7 7 7 7 7 7 7 8 8,8 8 8 8 8 8 8 8 8 8 8,65
