id,n,edges,solvable_mask,class,ps,fs,per_hole_min,per_hole_max,states
12478,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 4-7 5-8 8-9 9-10 10-11 11-12,3071,S,1,7,1 1 1 1 1 1 1 1 1 1 2 1 2,6 6 7 6 6 7 6 7 6 6 6 5 6,2503
12479,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 4-7 4-8 5-9 5-10 5-11 5-12,8191,F,1,9,1 1 1 1 1 1 1 1 1 1 1 1 1,8 8 9 8 8 9 8 9 9 8 8 8 8,4715
12480,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 4-7 4-8 5-9 5-10 5-11 11-12,8191,F,1,8,1 1 1 1 1 1 1 1 1 1 1 1 1,8 8 7 8 8 8 8 8 8 8 8 8 8,5033
12481,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 4-7 4-8 5-9 5-10 10-11 10-12,6570,S,1,8,2 1 2 1 2 1 2 1 1 2 2 1 1,8 8 7 8 8 8 8 8 8 8 8 8 8,3891
12482,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 4-7 4-8 5-9 5-10 10-11 11-12,8191,F,1,8,1 1 1 1 1 1 1 1 1 1 1 1 1,8 8 7 8 8 7 8 8 8 8 8 7 7,4228
12483,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 4-7 4-8 5-9 9-10 5-11 11-12,426,S,1,7,2 1 2 1 2 1 2 1 1 2 2 2 2,7 6 7 6 7 7 6 7 7 7 7 7 7,3934
12484,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 4-7 4-8 5-9 9-10 9-11 9-12,0,U,3,8,4 3 4 3 4 3 4 3 3 4 3 3 3,8 8 8 8 8 8 8 8 8 8 8 8 8,2177
12485,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 4-7 4-8 5-9 9-10 9-11 11-12,8191,F,1,8,1 1 1 1 1 1 1 1 1 1 1 1 1,7 7 8 7 7 8 7 8 8 7 7 7 7,3618
12486,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 4-7 4-8 5-9 9-10 10-11 10-12,8191,F,1,8,1 1 1 1 1 1 1 1 1 1 1 1 1,8 8 8 8 8 8 8 8 8 8 7 7 7,3466
12487,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 4-7 4-8 5-9 9-10 10-11 11-12,1034,S,1,7,2 1 2 1 2 2 2 2 2 2 1 2 2,7 7 7 7 7 7 7 7 7 7 7 6 7,2718
12488,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 4-7 7-8 5-9 5-10 5-11 5-12,7697,S,1,8,1 2 2 2 1 2 3 2 2 1 1 1 1,8 8 8 8 8 8 7 8 7 8 8 8 8,3551
12489,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 4-7 7-8 5-9 5-10 5-11 11-12,8191,F,1,7,1 1 1 1 1 1 1 1 1 1 1 1 1,7 7 7 7 7 7 7 7 7 7 7 7 7,4900
12490,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 4-7 7-8 5-9 5-10 10-11 10-12,8191,F,1,7,1 1 1 1 1 1 1 1 1 1 1 1 1,7 7 7 7 7 7 7 7 7 7 7 7 7,4621
12491,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 4-7 7-8 5-9 5-10 10-11 11-12,8191,F,1,7,1 1 1 1 1 1 1 1 1 1 1 1 1,7 7 6 7 7 7 7 7 7 7 7 6 7,4077
12492,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 4-7 7-8 5-9 9-10 5-11 11-12,8191,F,1,6,1 1 1 1 1 1 1 1 1 1 1 1 1,6 6 6 6 6 6 6 6 6 6 6 6 6,4726
12493,13,0-1 1-2 2-3 3-4 4-5 5-0 2-6 4-7 7-8 5-9 9-10 9-11 9-12,7871,S,1,8,1 1 1 1 1 1 2 1 2 1 1 1 1,8 7 7 7 8 7 7 7 7 7 8 8 8,3331
